"genus","class","fc1_p","fc2_p","fc3_p","between_mean1","within_mean1","family_mean1","total_number_between","total_number_family","total_number_within","number_1_between","number_1_family","number_1_within","freq_between","freq_family","freq_within","fc1_p_adjust","fc2_p_adjust","fc3_p_adjust","fc1","fc2"
"Salmonella","Nasal",0.00466183005052924,NA,NA,0.912253195544796,0.68866264377542,NA,52,NA,14,35,NA,3,0.673076923076923,NA,0.214285714285714,0.0114501088960367,NA,NA,0.223590551769376,NA
"Schaalia","Nasal",2.35448280826913e-53,1,0.0878671678221126,0.977730799563494,0.837642035340561,1,29488,6,887,27448,6,563,0.930819316332067,1,0.634723788049605,3.29627593157679e-52,1,0.396241148368544,0.140088764222932,NA
"Segetibacter","Nasal",1,NA,NA,0.997857295907435,1,NA,359,NA,19,358,NA,19,0.997214484679666,NA,1,1,NA,NA,-0.00214270409256478,NA
"Selenomonas","Nasal",0.000658348303160337,NA,NA,0.996042152583316,0.931341088723175,NA,1522,NA,74,1505,NA,62,0.988830486202365,NA,0.837837837837838,0.00180723063612642,NA,NA,0.064701063860141,NA
"Solirubrobacter","Nasal",1,NA,NA,0.99920445505171,1,NA,419,NA,16,418,NA,16,0.997613365155131,NA,1,1,NA,NA,-0.000795544948289595,NA
"Sphingobium","Nasal",0.00109939308391514,0.308537538725987,0.933192798731142,0.964471263448595,0.916001972001693,0.625,2897,2,182,2713,1,152,0.936486020020711,0.5,0.835164835164835,0.00293171489044036,0.997604708547358,1,0.0484692914469027,7.00384208876832
"Spirosoma","Nasal",0.195682969153776,NA,NA,0.996759718919085,0.928571428571429,NA,269,NA,7,267,NA,6,0.992565055762082,NA,0.857142857142857,0.299405635863701,NA,NA,0.0681882903476567,NA
"Sporosarcina","Nasal",1.15600280126799e-05,NA,NA,1,0.892482840475106,NA,260,NA,40,260,NA,25,1,NA,0.625,4.04600980443797e-05,NA,NA,0.107517159524894,NA
"Staphylococcus","Nasal",0,3.03459577890198e-13,0.0951397339942175,0.766567758767851,0.574547267467341,0.609505017484546,409526,155,9389,17644,0,293,0.0430839555974468,0,0.0312067312812866,0,9.81185968511641e-12,0.401241486845178,0.19202049130051,0.817947814941808
"Stenotrophomonas","Nasal",1.51270386006635e-12,NA,NA,0.954946196117609,0.702684017626662,NA,4715,NA,136,4190,NA,70,0.888653234358431,NA,0.514705882352941,7.99164303431278e-12,NA,NA,0.252262178490947,NA
"Stomatobaculum","Nasal",0.000292454444361471,NA,NA,0.973282800880233,0.896054941337358,NA,2755,NA,95,2578,NA,72,0.935753176043557,NA,0.757894736842105,0.000852992129387622,NA,NA,0.0772278595428753,NA
"Streptobacillus","Nasal",1.27649430555578e-05,NA,NA,0.999923653437504,0.398059789337098,NA,109,NA,11,108,NA,0,0.990825688073395,NA,0,4.35876104336119e-05,NA,NA,0.601863864100406,NA
"Streptococcus","Nasal",1.70590664381551e-217,0.149050838586683,0.0062231852947544,0.984149806418518,0.921976869974133,0.971088886210176,290147,79,6609,243796,62,4096,0.840249942270642,0.784810126582278,0.619760932062339,4.77653860268344e-216,0.980400932400932,0.0603648973591176,0.0621729364443857,0.210074044355713
"Streptomyces","Nasal",1,NA,NA,1,1,NA,359,NA,19,359,NA,19,1,NA,1,1,NA,NA,0,NA
"Subdoligranulum","Nasal",1.67769102063769e-12,0.0154908615090171,0.765369856732052,0.956050878880043,0.872469081562497,0.801596114490073,3498,12,318,2999,5,196,0.857347055460263,0.416666666666667,0.616352201257862,8.69913862552875e-12,0.187826695796832,1,0.0835817973175464,1.84794739221939
"Sutterella","Nasal",3.7170885079424e-17,NA,NA,0.88421324238489,0.527613705089417,NA,206,NA,94,149,NA,27,0.723300970873786,NA,0.287234042553192,2.73890732164177e-16,NA,NA,0.356599537295474,NA
"Tepidimonas","Nasal",3.28781111982989e-05,NA,NA,0.881343683290013,0.577198111653421,NA,81,NA,24,64,NA,3,0.790123456790123,NA,0.125,0.000108304366300279,NA,NA,0.304145571636593,NA
"Thermus","Nasal",0.000881274343959887,NA,NA,0.896118584436614,0.516836520283179,NA,92,NA,13,72,NA,2,0.782608695652174,NA,0.153846153846154,0.0023956972457162,NA,NA,0.379282064153435,NA
"Treponema","Nasal",0.0399764767664713,NA,NA,0.983243175793162,0.915809763013267,NA,579,NA,16,555,NA,13,0.958549222797927,NA,0.8125,0.082510647686623,NA,NA,0.0674334127798946,NA
"Unclassified_Acetobacteraceae","Nasal",0.168527607466838,NA,NA,0.997957251082251,0.98,NA,1056,NA,25,1053,NA,24,0.997159090909091,NA,0.96,0.275875920404267,NA,NA,0.0179572510822511,NA
"Unclassified_Alphaproteobacteria","Nasal",0.000507769942211775,NA,NA,0.95445554480882,0.852028158056221,NA,1779,NA,112,1621,NA,84,0.911186059584036,NA,0.75,0.00140767904771581,NA,NA,0.102427386752599,NA
"Unclassified_Bacteria","Nasal",5.65061021095498e-10,0.202328380963643,0.597229705666253,0.992058210630557,0.930260012109919,0.916666666666667,7648,6,347,7501,5,296,0.980779288702929,0.833333333333333,0.853025936599424,2.55188848236677e-09,0.980400932400932,1,0.0617981985206386,1.21996345797544
"Unclassified_Betaproteobacteria","Nasal",0,0.5,1,0.954931638117778,0.497171399349809,0.272727272727273,30393,1,1737,22275,0,191,0.732899022801303,0,0.109959700633276,0,1,1,0.457760238767969,1.49030935326889
"Unclassified_Burkholderiales","Nasal",0.036002828777749,NA,NA,0.985546218487395,0.535238095238095,NA,100,NA,5,97,NA,2,0.97,NA,0.4,0.0769526111280132,NA,NA,0.4503081232493,NA
"Unclassified_Candidatus_Saccharibacteria","Nasal",9.42912449285092e-31,0.5,0.0898691264341028,0.987203237291839,0.926034523434458,0.979716024340771,38148,17,895,36403,16,687,0.954257103911083,0.941176470588235,0.767597765363129,1.01544417615318e-29,1,0.396241148368544,0.0611687138573817,0.122402654542082
"Unclassified_Chitinophagaceae","Nasal",1,NA,NA,1,1,NA,451,NA,14,451,NA,14,1,NA,1,1,NA,NA,0,NA
"Unclassified_Chlorophyta","Nasal",0.000426581193643238,NA,NA,0.996207634649461,0.932739159419279,NA,984,NA,97,976,NA,84,0.991869918699187,NA,0.865979381443299,0.00120649226484956,NA,NA,0.0634684752301812,NA
"Unclassified_Clostridiales","Nasal",0.00806202638918445,0.226627352376868,0.894350226333145,0.988535105743339,0.968333489660024,0.952380952380952,3797,4,294,3677,3,272,0.968396102185936,0.75,0.925170068027211,0.0191302321099292,0.980400932400932,1,0.0202016160833152,1.78966639170255
